Capital Investment Budgeted,0.239,0.24,0.242,0.243,0.244,0.245,0.246,0.247,0.254,0.292
Construction Complexity,0.06,0.061,0.062,0.065,0.074
Design Complexity,0.061,0.062,0.063,0.064,0.065,0.075,0.077
Design Maturity,0.029,0.031,0.033,0.034,0.035,0.037,0.038,0.041,0.052,0.06
Discharge Burnup,0.047,0.054,0.055,0.056,0.068,0.084
Electricity Market Benefit,0.147,0.157,0.169,0.17,0.172,0.173,0.174,0.175
GHGe Benefit,0.024,0.026,0.028,0.029
Licensing Status,0.06,0.065,0.066,0.067,0.07
Load following Capabilities,0.021,0.023,0.024,0.025
Net Power Output,0.028,0.032,0.033,0.035,0.036,0.038
Nuclear Waste,0.026,0.028,0.03,0.031
Operative + Fuel Costs,0.035,0.036,0.037,0.038,0.046,0.05,0.052
Percived Safety,0.025,0.029,0.03,0.036,0.037,0.046,0.05,0.052
Supplier Availbility,0.02,0.022,0.023,0.049
Thermal Efficiency,0.074,0.079,0.086,0.087,0.088
