case_key,case_name,mc_mode,mc_iterations,repeat_id,wallclock_seconds
01,01-port-selection-liang-et-al,strict,50,0,0.0112
01,01-port-selection-liang-et-al,strict,50,1,0.0109
01,01-port-selection-liang-et-al,strict,50,2,0.0109
01,01-port-selection-liang-et-al,strict,50,3,0.0107
01,01-port-selection-liang-et-al,strict,50,4,0.0109
01,01-port-selection-liang-et-al,strict,100,0,0.0213
01,01-port-selection-liang-et-al,strict,100,1,0.0216
01,01-port-selection-liang-et-al,strict,100,2,0.0218
01,01-port-selection-liang-et-al,strict,100,3,0.0213
01,01-port-selection-liang-et-al,strict,100,4,0.0214
01,01-port-selection-liang-et-al,strict,200,0,0.0427
01,01-port-selection-liang-et-al,strict,200,1,0.0432
01,01-port-selection-liang-et-al,strict,200,2,0.0428
01,01-port-selection-liang-et-al,strict,200,3,0.0423
01,01-port-selection-liang-et-al,strict,200,4,0.0424
01,01-port-selection-liang-et-al,strict,500,0,0.1055
01,01-port-selection-liang-et-al,strict,500,1,0.1051
01,01-port-selection-liang-et-al,strict,500,2,0.1053
01,01-port-selection-liang-et-al,strict,500,3,0.1051
01,01-port-selection-liang-et-al,strict,500,4,0.1065
01,01-port-selection-liang-et-al,strict,1000,0,0.2115
01,01-port-selection-liang-et-al,strict,1000,1,0.2108
01,01-port-selection-liang-et-al,strict,1000,2,0.23
01,01-port-selection-liang-et-al,strict,1000,3,0.221
01,01-port-selection-liang-et-al,strict,1000,4,0.21
01,01-port-selection-liang-et-al,strict,2000,0,0.4867
01,01-port-selection-liang-et-al,strict,2000,1,0.4288
01,01-port-selection-liang-et-al,strict,2000,2,0.4202
01,01-port-selection-liang-et-al,strict,2000,3,0.4337
01,01-port-selection-liang-et-al,strict,2000,4,0.4254
01,01-port-selection-liang-et-al,strict,5000,0,1.0914
01,01-port-selection-liang-et-al,strict,5000,1,1.0733
01,01-port-selection-liang-et-al,strict,5000,2,1.0839
01,01-port-selection-liang-et-al,strict,5000,3,1.0809
01,01-port-selection-liang-et-al,strict,5000,4,1.0806
01,01-port-selection-liang-et-al,strict,10000,0,2.2561
01,01-port-selection-liang-et-al,strict,10000,1,2.2547
01,01-port-selection-liang-et-al,strict,10000,2,2.1922
01,01-port-selection-liang-et-al,strict,10000,3,2.2435
01,01-port-selection-liang-et-al,strict,10000,4,2.2271
01,01-port-selection-liang-et-al,non_strict,50,0,0.0129
01,01-port-selection-liang-et-al,non_strict,50,1,0.0128
01,01-port-selection-liang-et-al,non_strict,50,2,0.0126
01,01-port-selection-liang-et-al,non_strict,50,3,0.0128
01,01-port-selection-liang-et-al,non_strict,50,4,0.0126
01,01-port-selection-liang-et-al,non_strict,100,0,0.0252
01,01-port-selection-liang-et-al,non_strict,100,1,0.0252
